,CH4_umol_m2_d,1,2,Marker lineage,Completeness,Contamination,Strain heterogeneity,K02041,K02042,K02044,K06162,K06163,K06164,K06165,K06166,K05780
R2_B_D2_metabat.19,0.549152746515,87.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3356),98.64,1.97,8.33,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.38,0.776295863782,85.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),99.05,3.13,45.45,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.55,0.792269590536,91.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),98.87,4.01,19.05,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D1_concoct.88,0.399615220336,,,p__Bacteroidetes (UID2591),79.49,5.3,0.0,1.0,,,,1.0,,,,
R2_C_D1_concoct.95,0.366951050044,65.0,cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; ,c__Deltaproteobacteria (UID3216),97.72,4.84,12.5,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D1_metabat.17,0.817084620321,75.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),98.24,8.64,26.53,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.18,0.270938418901,81.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3356),99.7,1.04,33.33,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.45,0.816674365909,74.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),81.45,19.88,49.24,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.47,0.419668499993,81.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; ,f__Rhodobacteraceae (UID3361),82.78,21.44,68.06,4.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0
R2_r_C_black_concoct.17,0.429716347778,69.0,cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; ,c__Deltaproteobacteria (UID3216),95.3,1.94,33.33,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2_r_C_black_metabat.8,0.496080433984,67.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; ,c__Alphaproteobacteria (UID3337),99.0,2.4,14.29,2.0,1.0,,2.0,1.0,2.0,,1.0,2.0
R1_A_D2_concoct.21,0.521838862978,76.0,cellular organisms; Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; ,p__Euryarchaeota (UID49),98.37,3.27,0.0,,,1.0,,,,,,
